edad,qx
15, 0.031268 
16, 0.031268 
17, 0.031268 
18, 0.031268 
19, 0.031268 
20, 0.031268 
21, 0.031268 
22, 0.031268 
23, 0.031268 
24, 0.031268 
25, 0.031268 
26, 0.031268 
27, 0.031268 
28, 0.031269 
29, 0.031269 
30, 0.031269 
31, 0.031269 
32, 0.031270 
33, 0.031270 
34, 0.031271 
35, 0.031271 
36, 0.031272 
37, 0.031274 
38, 0.031275 
39, 0.031277 
40, 0.031280 
41, 0.031283 
42, 0.031287 
43, 0.031292 
44, 0.031298 
45, 0.031306 
46, 0.031315 
47, 0.031326 
48, 0.031339 
49, 0.031355 
50, 0.031374 
51, 0.031396 
52, 0.031424 
53, 0.031456 
54, 0.031494 
55, 0.031538 
56, 0.031591 
57, 0.031653 
58, 0.031725 
59, 0.031810 
60, 0.031908 
61, 0.032023 
62, 0.032155 
63, 0.032309 
64, 0.032487 
65, 0.032692 
66, 0.032929 
67, 0.033201 
68, 0.033515 
69, 0.033876 
70, 0.034291 
71, 0.034767 
72, 0.035314 
73, 0.035943 
74, 0.036665 
75, 0.037496 
76, 0.038452 
77, 0.039554 
78, 0.040826 
79, 0.042297 
80, 0.044001 
81, 0.045982 
82, 0.048290 
83, 0.050990 
84, 0.054160 
85, 0.057898 
86, 0.062326 
87, 0.067600 
88, 0.073916 
89, 0.081523 
90, 0.090743 
91, 0.101986 
92, 0.115779 
93, 0.132796 
94, 0.153887 
95, 0.180106 
96, 0.212717 
97, 0.253145 
98, 0.302829 
99, 0.362911 
100, 0.433709 
101, 0.514038 
102, 0.600622 
103, 0.688084 
104, 0.769931 
105, 0.840352 
106, 0.895920 
107, 0.936216 
108, 0.963206 
109, 0.979999 
110, 1.000000 