Edad,Hombres qx,Mujeres qx
0,0.00165,0.00133
1,0.00166,0.00133
2,0.00166,0.00133
3,0.00167,0.00133
4,0.00168,0.00133
5,0.00169,0.00133
6,0.00170,0.00133
7,0.00172,0.00134
8,0.00173,0.00134
9,0.00175,0.00134
10,0.00177,0.00135
11,0.00180,0.00135
12,0.00182,0.00136
13,0.00185,0.00137
14,0.00188,0.00137
15,0.00191,0.00138
16,0.00195,0.00139
17,0.00199,0.00140
18,0.00203,0.00142
19,0.00207,0.00143
20,0.00211,0.00144
21,0.00216,0.00146
22,0.00221,0.00148
23,0.00227,0.00150
24,0.00233,0.00152
25,0.00239,0.00154
26,0.00246,0.00157
27,0.00252,0.00159
28,0.00260,0.00162
29,0.00268,0.00165
30,0.00276,0.00169
31,0.00285,0.00172
32,0.00294,0.00176
33,0.00304,0.00180
34,0.00315,0.00185
35,0.00326,0.00190
36,0.00338,0.00195
37,0.00350,0.00200
38,0.00363,0.00206
39,0.00378,0.00213
40,0.00392,0.00220
41,0.00408,0.00227
42,0.00425,0.00235
43,0.00443,0.00244
44,0.00462,0.00253
45,0.00482,0.00263
46,0.00504,0.00274
47,0.00527,0.00285
48,0.00551,0.00298
49,0.00577,0.00311
50,0.00604,0.00326
51,0.00634,0.00341
52,0.00665,0.00359
53,0.00698,0.00377
54,0.00734,0.00397
55,0.00772,0.00419
56,0.00812,0.00442
57,0.00855,0.00468
58,0.00902,0.00496
59,0.00951,0.00526
60,0.01004,0.00560
61,0.01060,0.00596
62,0.01120,0.00636
63,0.01185,0.00679
64,0.01254,0.00727
65,0.01328,0.00779
66,0.01408,0.00837
67,0.01493,0.00900
68,0.01584,0.00969
69,0.01682,0.01046
70,0.01787,0.01131
71,0.01900,0.01225
72,0.02022,0.01329
73,0.02152,0.01444
74,0.02292,0.01572
75,0.02443,0.01714
76,0.02605,0.01872
77,0.02779,0.02048
78,0.02967,0.02244
79,0.03168,0.02463
80,0.03386,0.02708
81,0.03619,0.02983
82,0.03871,0.03290
83,0.04142,0.03634
84,0.04433,0.04020
85,0.04747,0.04453
86,0.05085,0.04940
87,0.05449,0.05486
88,0.05840,0.06099
89,0.06260,0.06789
90,0.06712,0.07562
91,0.07198,0.08430
92,0.07720,0.09402
93,0.08280,0.10489
94,0.08881,0.11704
95,0.09524,0.13057
96,0.10213,0.14559
97,0.10950,0.16222
98,0.11737,0.18054
99,0.12576,0.20062
100,0.13470,0.22251
101,0.14420,0.24621
102,0.15428,0.27167
103,0.16497,0.29879
104,0.17625,0.32742
105,0.18815,0.35734
106,0.20067,0.38825
107,0.21379,0.41982
108,0.22752,0.45166
109,0.24183,0.48338
110,1.00000,1.00000